Opportunity ID,Account Name,Booking ARR,Deal Stage,Close Date,Create Date,Deal Type,Lead Source,Product Family,Deal Owner,Known Competitors,Incumbent Vendor,Closed Reason
OPP-1083,Example Customer 3,12000,Closed Lost,2024-05-04,2024-01-01,Upsell,Renewal,Analytics Add-on,Rep One,Competitor X,Home-grown,Price
OPP-1084,Example Customer 4,24000,Closed Won,2024-12-11,2024-08-06,New Logo,Marketing,Analytics Add-on,Rep Two,,Home-grown,
OPP-1085,Example Customer 5,48000,Closed Won,2024-12-22,2024-09-07,Renewal,Renewal,Core Platform,Rep One,,Legacy Co,
OPP-1086,Example Customer 6,150000,No Business Awarded,2024-09-15,2024-08-09,Upsell,Customer Success,Core Platform,Rep One,Competitor Y,Home-grown,Not Qualified
OPP-1087,Example Customer 7,5000,Closed Won,2024-05-31,2024-04-14,Renewal,Marketing,Analytics Add-on,Rep Two,,,
OPP-1088,Example Customer 8,1000,Closed Won,2024-10-31,2024-09-04,Renewal,Marketing,Core Platform,Rep Three,,Home-grown,
OPP-1089,Example Customer 9,90000,Closed Won,2024-12-29,2024-11-24,Upsell,Renewal,Analytics Add-on,Rep Three,,Home-grown,
OPP-1090,Example Customer 10,5000,No Business Awarded,2024-03-25,2024-01-01,Upsell,Sales,Analytics Add-on,Rep Three,,Legacy Co,No budget
OPP-1091,Example Customer 11,2000,No Business Awarded,2024-06-18,2024-02-06,Upsell,Sales,Analytics Add-on,Rep One,Competitor Y,Legacy Co,Price
OPP-1092,Example Customer 12,90000,No Business Awarded,2024-03-04,2024-01-01,Upsell,Customer Success,Analytics Add-on,Rep One,Competitor X,,Other
OPP-1093,Example Customer 13,12000,Closed Won,2024-07-09,2024-02-02,Renewal,Customer Success,Analytics Add-on,Rep Three,,Legacy Co,
OPP-1094,Example Customer 14,1000,Closed Won,2024-07-29,2024-05-07,Renewal,Renewal,Core Platform,Rep Two,,Home-grown,
OPP-1095,Example Customer 15,2000,No Business Awarded,2024-02-01,2024-01-01,Upsell,Customer Success,Analytics Add-on,Rep Two,,Home-grown,Other
OPP-1096,Example Customer 16,24000,Closed Won,2025-01-01,2024-09-22,Cross-Sell,Sales,Core Platform,Rep One,,Home-grown,
OPP-1097,Example Customer 17,24000,Closed Won,2025-01-01,2024-08-15,Renewal,Renewal,Analytics Add-on,Rep One,,Legacy Co,
OPP-1098,Example Customer 18,12000,Closed Won,2025-01-13,2024-10-08,Upsell,Customer Success,Analytics Add-on,Rep Two,,Legacy Co,
OPP-1099,Example Customer 19,90000,No Business Awarded,2024-11-01,2024-09-22,Upsell,Marketing,Analytics Add-on,Rep One,,Home-grown,Not Qualified
OPP-1100,Example Customer 20,90000,Closed Won,2024-10-05,2024-06-24,Upsell,Sales,Core Platform,Rep Two,,,
OPP-1101,Example Customer 21,150000,Closed Won,2024-02-19,2024-01-01,Renewal,Marketing,Core Platform,Rep One,,Legacy Co,
OPP-1102,Example Customer 22,24000,Closed Won,2024-12-11,2024-09-22,New Logo,Customer Success,Analytics Add-on,Rep Three,,Legacy Co,
OPP-1103,Example Customer 23,150000,Closed Won,2025-01-12,2024-10-18,Upsell,Marketing,Core Platform,Rep One,,Home-grown,
OPP-1104,Example Customer 24,2000,Closed Won,2024-10-23,2024-08-16,Cross-Sell,Renewal,Analytics Add-on,Rep One,,,
OPP-1105,Example Customer 25,1000,Closed Won,2024-11-28,2024-10-14,Renewal,Sales,Core Platform,Rep Two,,Home-grown,
OPP-1106,Example Customer 26,12000,No Business Awarded,2024-07-10,2024-06-10,Cross-Sell,Sales,Core Platform,Rep Three,,Home-grown,Price
OPP-1107,Example Customer 27,150000,No Business Awarded,2024-07-09,2024-02-09,Upsell,Sales,Core Platform,Rep Three,,,Other
OPP-1108,Example Customer 28,48000,Closed Lost,2024-04-21,2024-03-23,Cross-Sell,Sales,Core Platform,Rep Two,Competitor X,,Not Qualified
OPP-1109,Example Customer 29,90000,No Business Awarded,2024-04-14,2024-03-23,Cross-Sell,Marketing,Analytics Add-on,Rep One,Competitor X,Home-grown,Other
OPP-1110,Example Customer 30,90000,No Business Awarded,2024-10-07,2024-05-17,New Logo,Renewal,Core Platform,Rep Three,,Home-grown,Price
OPP-1111,Example Customer 31,24000,Closed Lost,2024-07-22,2024-04-24,Renewal,Renewal,Core Platform,Rep Two,,,Other
OPP-1112,Example Customer 32,48000,No Business Awarded,2024-07-31,2024-03-27,New Logo,Renewal,Analytics Add-on,Rep One,Competitor X,Legacy Co,Not Qualified
OPP-1113,Example Customer 33,90000,No Business Awarded,2024-08-04,2024-06-16,New Logo,Renewal,Core Platform,Rep One,Competitor X,Home-grown,Other
OPP-1114,Example Customer 34,48000,Closed Lost,2024-11-24,2024-07-26,New Logo,Marketing,Analytics Add-on,Rep Two,Competitor X,,Not Qualified
OPP-1115,Example Customer 35,150000,Closed Won,2024-02-04,2024-01-01,Renewal,Marketing,Analytics Add-on,Rep One,,Home-grown,
OPP-1116,Example Customer 36,90000,No Business Awarded,2024-09-04,2024-05-27,New Logo,Marketing,Core Platform,Rep Three,Competitor Y,,Price
OPP-1117,Example Customer 37,1000,No Business Awarded,2024-08-30,2024-06-25,Upsell,Marketing,Analytics Add-on,Rep Two,Competitor X,Home-grown,No budget
OPP-1118,Example Customer 38,1000,Closed Won,2025-01-06,2024-10-29,New Logo,Customer Success,Core Platform,Rep Two,,,
OPP-1119,Example Customer 39,24000,Closed Won,2024-11-17,2024-08-11,Renewal,Marketing,Analytics Add-on,Rep Two,,,
